1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Station Name,State,Average for 1980-2011,lon,lat
16.5,24.9,32.1,22,27.3,19.3,23.1,19.7,8.2,9.6,20.4,10.5,20,45.2,7.9,69,9.4,3.6,12.3,14.1,33.8,4.5,56.2,37.6,36.8,25.4,8.5,11.7,22.3,47.2,40.7,NEW YORK JFK INTL AP,NY,23.9,-73.762,40.639
19.5,43.5,47.7,56.2,28.5,33,46.7,45.2,12,44.5,27.7,20.1,60.8,59.5,17.7,91,39.2,22.4,22.6,19.5,61.6,14.5,73,48.5,58.5,49.7,23.2,25.2,36.7,60.5,68.4,YORKTOWN HEIGHTS 1 W,NY,41.2,-73.797,41.266
37.5,89.7,77.4,82.7,38.5,61.6,78.2,82.1,14.2,60.5,38,31.3,88.9,83.4,30.9,123.5,71.1,47.6,41.1,40.2,101.1,38.4,94,59.8,82,51.5,39.8,62.9,47.2,83.8,55.6,MOHONK LAKE,NY,62.4,-74.155,41.768
72.1,75.9,52.3,99.4,79.4,78.4,79.9,68,59.5,89.1,63,108.3,148.9,135.7,63.2,163,76.1,77.6,73.8,72.6,106.5,70.2,116.4,106.4,115.9,105.8,108.5,85.6,112.9,63.3,79.8,FRIENDSHIP 7 SW,NY,90.6,-78.237,42.138
45,57.2,56.7,55.9,45.2,50.7,57.6,61.8,32.4,51.9,39,42.4,86.6,100.2,33,83.9,49.1,58.6,49.4,53,58.4,35.1,88.7,74,78.6,51,65.9,71.7,55.2,58.9,90.8,CANDOR 2SE,NY,59.3,-76.313,42.194
52.3,64.9,47.2,74.4,49.5,64.7,65.9,64.8,46.5,67.7,48.3,53.8,79.8,116.6,40.7,105.9,51.6,77.7,64,63.7,83.5,25.2,100.1,73.6,79.9,43.3,70.3,55.4,59.4,81.7,65.1,ITHACA CORNELL UNIV,NY,65.7,-76.449,42.449
62.4,100.5,25.5,59.5,56,64.2,54.2,53.8,44.5,78.3,57.6,88.6,102.3,95.8,40.4,93.1,52.1,71,83.7,64.8,83.8,63.1,79.2,79.7,78,72.3,61.7,72,87.6,77.5,60,PORTAGEVILLE,NY,69.8,-78.04,42.57
44.9,97.1,75,65.2,41.3,62.5,80.6,76.7,19,57.9,28.7,30.7,94.2,88.1,30.9,98,66.6,50.8,44.1,62.1,77.1,47.4,105.4,65.1,75.9,30.2,45.9,61.1,52.6,45.4,77.5,ALBANY INTL AP,NY,61.2,-73.809,42.743
55.3,52.1,27,55.6,46.1,47.5,56.5,43.3,45.6,58.5,44.3,69.5,103,73.3,41,69.5,45.5,44.5,54.4,52.7,66,30.1,64.8,48.8,60.1,27.7,36,57.1,52.3,71,54,AVON,NY,53.3,-77.756,42.92
79,137.1,66,113.6,116.4,104.9,93.5,111.4,97.8,162,96.9,166.9,192.1,163.8,66.9,170.9,131.1,134.7,98.3,85.8,191.9,59.4,153.2,181.3,136.2,124.6,140.2,109.1,149.6,106.3,160.1,SYRACUSE HANCOCK  AP,NY,125.8,-76.104,43.111
231.6,170,108.3,223.7,249.9,250.5,184.9,240.9,225.7,233.3,190.1,220,203.9,230.9,125.4,214.6,230.9,154.3,149.7,133.7,229.7,206.5,227.3,181.7,170.5,151.7,197.1,169.1,213.6,107,100.7,BOONVILLE 4 SSW,NY,191.2,-75.37,43.436
158.3,156,72.6,144.7,145.7,185.3,91.8,135.5,110.2,150.6,108.9,156.5,177.5,203.8,99.5,229.7,166.9,101.8,115.2,76.5,204.3,70.6,182.9,186.4,128.3,114.7,162.2,160.2,154.6,117,109.7,OSWEGO EAST,NY,141.2,-76.493,43.462
86.1,100,58.3,76.6,73.5,90.6,90.1,90,48.1,84.1,66.6,41.9,111.4,112.2,47.2,89.7,97.1,84,74.7,75,103.7,58.4,104.7,70.4,66.6,50,89.2,90.7,91.4,49.7,62.5,NORTH CREEK 5 SE,NY,78.5,-73.897,43.661
77.4,108.4,52.8,102.6,135.7,113.7,106,97.6,109.2,157.8,98.4,85.1,135.2,171.1,99.7,148,187.4,110.8,100.3,91.9,147.4,136.6,157,121.5,88.3,140.3,138.1,149.7,158.7,98.8,94.7,LOWVILLE,NY,120,-75.482,43.797
69.1,90.7,110.8,110.9,58.1,65.1,106.3,116.4,50.2,75.7,59.5,43.7,106.3,98.1,40.9,153.2,100.1,59.7,47.3,46.7,93.9,30.3,88.5,62,90.8,80.3,44,79.8,78.9,73.3,89.9,STORRS,CT,78.1,-73.221,41.972
14.7,43.3,35.3,21.9,18,11.6,30.7,30.6,9.5,39.1,18,18.6,33.3,55.8,11.7,75.7,28.1,7.4,39.2,16.9,37.5,9.1,49.9,41.6,65.2,28.4,13.6,14.1,47.8,37.5,64.4,KINGSTON,RI,31.2,-71.541,41.491
35.9,78.3,53,78.4,35.5,33.3,87.4,60.3,16.7,61.2,39.6,36.2,85.4,86.6,21,129.1,73.8,31.5,50.5,26.7,81.1,34.3,88.5,62.6,100.1,57.3,29.3,51.2,62,66.1,77,NORTH FOSTER 1 E,RI,59,-71.733,41.856
28.5,56.3,41,43.6,40.1,25.2,52.8,59.2,22.8,48.5,19.8,24.4,61.4,94.9,12.8,112.2,48.9,19.9,50.4,26.6,52.2,18.5,79.4,42.1,89.9,36.3,19.8,46.4,73,42.7,65.3,HINGHAM,MA,46.9,-70.912,42.227
29.5,63,46.8,52,36,22.9,58.6,53,10.5,46.5,17.5,22.5,79,90,13,107.5,56.1,30.5,36,27.5,58,20.5,84,42,102,46.5,26,54,69.5,42.1,60.5,NATICK,MA,48.5,-71.344,42.282
